Timestamp,Tension,Corriente,totalizado
2025-06-28T18:40:22.710181,8424.0,-16.0,-96
2025-06-28T18:40:23.884017,8406.0,-16.0,-112
2025-06-28T18:40:25.056621,8406.0,-16.0,-128
2025-06-28T18:40:26.230305,8424.0,-16.0,-144
2025-06-28T18:40:27.402943,8406.0,-16.0,-160
2025-06-28T18:40:28.575536,8388.0,-16.0,-176
2025-06-28T18:40:29.752232,8280.0,-6065.0,-6241
2025-06-28T18:40:30.930029,8226.0,-6376.0,-12617
2025-06-28T18:40:32.106595,8262.0,-6388.0,-19005
2025-06-28T18:40:33.284281,8226.0,-6365.0,-25370
2025-06-28T18:40:34.461072,8262.0,-6400.0,-31770
2025-06-28T18:40:35.637573,8226.0,-6370.0,-38140
2025-06-28T18:40:36.815316,8244.0,-6378.0,-44518
2025-06-28T18:40:37.991980,8244.0,-6388.0,-50906
2025-06-28T18:40:39.168693,8262.0,-6372.0,-57278
2025-06-28T18:40:40.346382,8190.0,-6387.0,-63665
2025-06-28T18:40:41.522962,8244.0,-6365.0,-70030
2025-06-28T18:40:42.699594,8208.0,-6406.0,-76436
2025-06-28T18:40:43.877305,8226.0,-6378.0,-82814
2025-06-28T18:40:45.053953,8208.0,-6406.0,-89220
2025-06-28T18:40:46.230620,8244.0,-6378.0,-95598
2025-06-28T18:40:47.409340,8208.0,-6390.0,-101988
2025-06-28T18:40:48.585853,8262.0,-6391.0,-108379
2025-06-28T18:40:49.762553,8226.0,-6401.0,-114780
2025-06-28T18:40:50.940235,8244.0,-6376.0,-121156
2025-06-28T18:40:52.116890,8226.0,-6396.0,-127552
2025-06-28T18:40:53.293616,8244.0,-6409.0,-133961
2025-06-28T18:40:54.471275,8244.0,-6385.0,-140346
2025-06-28T18:40:55.647999,8226.0,-6397.0,-146743
2025-06-28T18:40:56.824622,8190.0,-6388.0,-153131
2025-06-28T18:40:58.002171,8226.0,-6389.0,-159520
2025-06-28T18:40:59.178925,8190.0,-6390.0,-165910
2025-06-28T18:41:00.356495,8244.0,-6387.0,-172297
2025-06-28T18:41:01.533217,8244.0,-6397.0,-178694
2025-06-28T18:41:02.709861,8244.0,-6403.0,-185097
2025-06-28T18:41:03.887510,8190.0,-6404.0,-191501
2025-06-28T18:41:05.064139,8226.0,-6387.0,-197888
2025-06-28T18:41:06.240851,8226.0,-6389.0,-204277
2025-06-28T18:41:07.418584,8208.0,-6404.0,-210681
2025-06-28T18:41:08.595073,8226.0,-6389.0,-217070
2025-06-28T18:41:09.771753,8244.0,-6401.0,-223471
2025-06-28T18:41:10.949455,8208.0,-6387.0,-229858
2025-06-28T18:41:12.126143,8190.0,-6406.0,-236264
2025-06-28T18:41:13.302688,8190.0,-6407.0,-242671
2025-06-28T18:41:14.480466,8208.0,-6389.0,-249060
2025-06-28T18:41:15.657175,8208.0,-6409.0,-255469
2025-06-28T18:41:16.833900,8208.0,-6391.0,-261860
2025-06-28T18:41:18.011349,8190.0,-6401.0,-268261
2025-06-28T18:41:19.187854,8262.0,-6423.0,-274684
2025-06-28T18:41:20.364901,8208.0,-6421.0,-281105
2025-06-28T18:41:21.542255,8244.0,-6406.0,-287511
2025-06-28T18:41:22.718894,8226.0,-6407.0,-293918
2025-06-28T18:41:23.895561,8208.0,-6403.0,-300321
2025-06-28T18:41:25.073347,8190.0,-6397.0,-306718
2025-06-28T18:41:26.249959,8244.0,-6403.0,-313121
2025-06-28T18:41:27.426737,8208.0,-6416.0,-319537
2025-06-28T18:41:28.604252,8262.0,-6414.0,-325951
2025-06-28T18:41:29.780974,8208.0,-6419.0,-332370
2025-06-28T18:41:30.957442,8226.0,-6419.0,-338789
2025-06-28T18:41:32.135246,8190.0,-6414.0,-345203
2025-06-28T18:41:33.312002,8208.0,-6421.0,-351624
2025-06-28T18:41:34.489727,8190.0,-6410.0,-358034
2025-06-28T18:41:35.666279,8226.0,-6412.0,-364446
2025-06-28T18:41:36.842940,8154.0,-6433.0,-370879
2025-06-28T18:41:38.020583,8190.0,-6409.0,-377288
2025-06-28T18:41:39.197361,8154.0,-6399.0,-383687
2025-06-28T18:41:40.373784,8172.0,-6418.0,-390105
2025-06-28T18:41:41.551453,8208.0,-6411.0,-396516
2025-06-28T18:41:42.728183,8208.0,-6413.0,-402929
2025-06-28T18:41:43.904858,8190.0,-6429.0,-409358
2025-06-28T18:41:45.082396,8208.0,-6417.0,-415775
2025-06-28T18:41:46.259114,8208.0,-6424.0,-422199
2025-06-28T18:41:47.435827,8226.0,-6433.0,-428632
2025-06-28T18:41:48.613433,8208.0,-6414.0,-435046
2025-06-28T18:41:49.790027,8226.0,-6405.0,-441451
2025-06-28T18:41:50.966736,8208.0,-6420.0,-447871
2025-06-28T18:41:52.144415,8226.0,-6440.0,-454311
2025-06-28T18:41:53.321092,8190.0,-6421.0,-460732
2025-06-28T18:41:54.497895,8208.0,-6431.0,-467163
2025-06-28T18:41:55.675412,8100.0,-6415.0,-473578
2025-06-28T18:41:56.852119,8244.0,-6429.0,-480007
2025-06-28T18:41:58.028713,8172.0,-6424.0,-486431
2025-06-28T18:41:59.206381,8208.0,-6401.0,-492832
2025-06-28T18:42:00.383151,8172.0,-6443.0,-499275
2025-06-28T18:42:01.560362,8190.0,-6445.0,-505720
2025-06-28T18:42:02.737295,8172.0,-6423.0,-512143
2025-06-28T18:42:03.913955,8226.0,-6419.0,-518562
2025-06-28T18:42:05.090715,8190.0,-6418.0,-524980
2025-06-28T18:42:06.268156,8190.0,-6428.0,-531408
2025-06-28T18:42:07.445087,8154.0,-6415.0,-537823
2025-06-28T18:42:08.621553,8226.0,-6432.0,-544255
2025-06-28T18:42:09.799342,8190.0,-6423.0,-550678
2025-06-28T18:42:10.975913,8208.0,-6417.0,-557095
2025-06-28T18:42:12.152790,8190.0,-6416.0,-563511
2025-06-28T18:42:13.330409,8208.0,-6433.0,-569944
2025-06-28T18:42:14.507060,8172.0,-6448.0,-576392
2025-06-28T18:42:15.684724,8172.0,-6404.0,-582796
2025-06-28T18:42:16.861478,8136.0,-6425.0,-589221
2025-06-28T18:42:18.038036,8226.0,-6429.0,-595650
2025-06-28T18:42:19.215946,8244.0,-6445.0,-602095
2025-06-28T18:42:20.392362,8190.0,-6456.0,-608551
2025-06-28T18:42:21.568848,8172.0,-6442.0,-614993
2025-06-28T18:42:22.746627,8226.0,-6413.0,-621406
2025-06-28T18:42:23.923262,8172.0,-6426.0,-627832
2025-06-28T18:42:25.099995,8208.0,-6427.0,-634259
2025-06-28T18:42:26.277384,8172.0,-6424.0,-640683
2025-06-28T18:42:27.454248,8226.0,-6434.0,-647117
2025-06-28T18:42:28.630843,8172.0,-6426.0,-653543
2025-06-28T18:42:29.808555,8208.0,-6452.0,-659995
2025-06-28T18:42:30.985034,8172.0,-6440.0,-666435
2025-06-28T18:42:32.161828,8172.0,-6439.0,-672874
2025-06-28T18:42:33.339431,8190.0,-6429.0,-679303
2025-06-28T18:42:34.516129,8172.0,-6449.0,-685752
2025-06-28T18:42:35.692778,8154.0,-6413.0,-692165
2025-06-28T18:42:36.870443,8226.0,-6454.0,-698619
2025-06-28T18:42:38.046999,8172.0,-6439.0,-705058
2025-06-28T18:42:39.223707,8208.0,-6434.0,-711492
2025-06-28T18:42:40.401280,8154.0,-6432.0,-717924
2025-06-28T18:42:41.578065,8172.0,-6441.0,-724365
2025-06-28T18:42:42.754760,8208.0,-6434.0,-730799
2025-06-28T18:42:43.932354,8226.0,-6435.0,-737234
2025-06-28T18:42:45.108993,8208.0,-6428.0,-743662
2025-06-28T18:42:46.285761,8172.0,-6421.0,-750083
2025-06-28T18:42:47.463467,8172.0,-6434.0,-756517
2025-06-28T18:42:48.640008,8208.0,-6426.0,-762943
2025-06-28T18:42:49.817692,8172.0,-6427.0,-769370
2025-06-28T18:42:50.994356,8154.0,-6431.0,-775801
2025-06-28T18:42:52.170988,8136.0,-6422.0,-782223
2025-06-28T18:42:53.348528,8172.0,-6436.0,-788659
2025-06-28T18:42:54.525272,8172.0,-6423.0,-795082
2025-06-28T18:42:55.701974,8208.0,-6460.0,-801542
2025-06-28T18:42:56.879574,8172.0,-6429.0,-807971
2025-06-28T18:42:58.056360,8172.0,-6450.0,-814421
2025-06-28T18:42:59.232856,8136.0,-6450.0,-820871
2025-06-28T18:43:00.410419,8190.0,-6420.0,-827291
2025-06-28T18:43:01.587487,8190.0,-6430.0,-833721
2025-06-28T18:43:02.763889,8190.0,-6441.0,-840162
2025-06-28T18:43:03.941614,8208.0,-6442.0,-846604
2025-06-28T18:43:05.118133,8154.0,-6451.0,-853055
2025-06-28T18:43:06.294929,8136.0,-6443.0,-859498
2025-06-28T18:43:07.472704,8190.0,-6440.0,-865938
2025-06-28T18:43:08.649306,8136.0,-6443.0,-872381
2025-06-28T18:43:09.826087,8208.0,-6425.0,-878806
2025-06-28T18:43:11.003687,8172.0,-6453.0,-885259
2025-06-28T18:43:12.180225,8154.0,-6439.0,-891698
2025-06-28T18:43:13.357009,8154.0,-6445.0,-898143
2025-06-28T18:43:14.534456,8190.0,-6438.0,-904581
2025-06-28T18:43:15.711128,8190.0,-6449.0,-911030
2025-06-28T18:43:16.887779,8172.0,-6433.0,-917463
2025-06-28T18:43:18.065472,8154.0,-6443.0,-923906
2025-06-28T18:43:19.242048,8208.0,-6460.0,-930366
2025-06-28T18:43:20.418853,8172.0,-6453.0,-936819
2025-06-28T18:43:21.596523,8190.0,-6434.0,-943253
2025-06-28T18:43:22.773044,8154.0,-6433.0,-949686
2025-06-28T18:43:23.950696,8154.0,-6440.0,-956126
2025-06-28T18:43:25.127389,8154.0,-6443.0,-962569
2025-06-28T18:43:26.303906,8190.0,-6466.0,-969035
2025-06-28T18:43:27.481624,8136.0,-6436.0,-975471
2025-06-28T18:43:28.658349,8190.0,-6463.0,-981934
2025-06-28T18:43:29.835048,8190.0,-6458.0,-988392
2025-06-28T18:43:31.012677,8154.0,-6417.0,-994809
2025-06-28T18:43:32.190564,8136.0,-6442.0,-1001251
2025-06-28T18:43:33.367080,8154.0,-6454.0,-1007705
2025-06-28T18:43:34.544655,8154.0,-6456.0,-1014161
2025-06-28T18:43:35.721283,8208.0,-6449.0,-1020610
2025-06-28T18:43:36.898049,8172.0,-6450.0,-1027060
2025-06-28T18:43:38.075637,8190.0,-6426.0,-1033486
2025-06-28T18:43:39.252316,8118.0,-6464.0,-1039950
2025-06-28T18:43:40.429035,8190.0,-6447.0,-1046397
2025-06-28T18:43:41.606692,8154.0,-6436.0,-1052833
2025-06-28T18:43:42.783384,8190.0,-6437.0,-1059270
2025-06-28T18:43:43.959822,8172.0,-6455.0,-1065725
2025-06-28T18:43:45.137519,8190.0,-6469.0,-1072194
2025-06-28T18:43:46.314186,8154.0,-6431.0,-1078625
2025-06-28T18:43:47.490955,8190.0,-6453.0,-1085078
2025-06-28T18:43:48.668674,8118.0,-6448.0,-1091526
2025-06-28T18:43:49.845188,8154.0,-6453.0,-1097979
2025-06-28T18:43:51.021900,8172.0,-6444.0,-1104423
2025-06-28T18:43:52.199529,8208.0,-6465.0,-1110888
2025-06-28T18:43:53.376123,8118.0,-6460.0,-1117348
2025-06-28T18:43:54.552955,8190.0,-6438.0,-1123786
2025-06-28T18:43:55.730496,8190.0,-6438.0,-1130224
2025-06-28T18:43:56.907140,8118.0,-6448.0,-1136672
2025-06-28T18:43:58.083776,8172.0,-6461.0,-1143133
2025-06-28T18:43:59.261452,8190.0,-6459.0,-1149592
2025-06-28T18:44:00.438268,8190.0,-6457.0,-1156049
2025-06-28T18:44:01.615747,8190.0,-6457.0,-1162506
2025-06-28T18:44:02.792483,8136.0,-6460.0,-1168966
2025-06-28T18:44:03.969169,8154.0,-6475.0,-1175441
2025-06-28T18:44:05.145750,8154.0,-6425.0,-1181866
2025-06-28T18:44:06.323466,8172.0,-6446.0,-1188312
2025-06-28T18:44:07.500166,8118.0,-6461.0,-1194773
2025-06-28T18:44:08.677731,8172.0,-6466.0,-1201239
2025-06-28T18:44:09.857832,8136.0,-6462.0,-1207701
2025-06-28T18:44:11.031010,8172.0,-6455.0,-1214156
2025-06-28T18:44:12.208710,8136.0,-6447.0,-1220603
2025-06-28T18:44:13.385472,8190.0,-6441.0,-1227044
2025-06-28T18:44:14.562054,8118.0,-6455.0,-1233499
2025-06-28T18:44:15.739659,8154.0,-6443.0,-1239942
2025-06-28T18:44:16.916421,8136.0,-6468.0,-1246410
2025-06-28T18:44:18.093003,8154.0,-6453.0,-1252863
2025-06-28T18:44:19.270795,8100.0,-6452.0,-1259315
2025-06-28T18:44:20.447264,8154.0,-6449.0,-1265764
2025-06-28T18:44:21.624024,8118.0,-6468.0,-1272232
2025-06-28T18:44:22.801567,8154.0,-6441.0,-1278673
2025-06-28T18:44:23.978249,8154.0,-6439.0,-1285112
2025-06-28T18:44:25.155070,8154.0,-6472.0,-1291584
2025-06-28T18:44:26.332574,8118.0,-6472.0,-1298056
2025-06-28T18:44:27.509341,8154.0,-6440.0,-1304496
2025-06-28T18:44:28.686010,8154.0,-6456.0,-1310952
2025-06-28T18:44:29.863614,8154.0,-6467.0,-1317419
2025-06-28T18:44:31.040260,8154.0,-6458.0,-1323877
2025-06-28T18:44:32.216856,8136.0,-6452.0,-1330329
2025-06-28T18:44:33.394511,8136.0,-6429.0,-1336758
2025-06-28T18:44:34.571300,8172.0,-6457.0,-1343215
2025-06-28T18:44:35.747871,8100.0,-6463.0,-1349678
2025-06-28T18:44:36.925616,8190.0,-6453.0,-1356131
2025-06-28T18:44:38.102048,8208.0,-6460.0,-1362591
2025-06-28T18:44:39.278785,8154.0,-6457.0,-1369048
2025-06-28T18:44:40.456518,8118.0,-6462.0,-1375510
2025-06-28T18:44:41.633159,8172.0,-6468.0,-1381978
2025-06-28T18:44:42.810877,8118.0,-6458.0,-1388436
2025-06-28T18:44:43.987600,8136.0,-6446.0,-1394882
2025-06-28T18:44:45.163976,8172.0,-6474.0,-1401356
2025-06-28T18:44:46.341817,8172.0,-6478.0,-1407834
2025-06-28T18:44:47.518308,8136.0,-6449.0,-1414283
2025-06-28T18:44:48.695030,8172.0,-6467.0,-1420750
2025-06-28T18:44:49.872737,8154.0,-6450.0,-1427200
2025-06-28T18:44:51.049280,8136.0,-6446.0,-1433646
2025-06-28T18:44:52.226045,8172.0,-6446.0,-1440092
2025-06-28T18:44:53.403655,8172.0,-6449.0,-1446541
2025-06-28T18:44:54.580495,8136.0,-6461.0,-1453002
2025-06-28T18:44:55.757100,8154.0,-6444.0,-1459446
2025-06-28T18:44:56.934726,8118.0,-6452.0,-1465898
2025-06-28T18:44:58.111403,8172.0,-6456.0,-1472354
2025-06-28T18:44:59.288023,8136.0,-6458.0,-1478812
2025-06-28T18:45:00.465671,8172.0,-6438.0,-1485250
2025-06-28T18:45:01.642347,8100.0,-6441.0,-1491691
2025-06-28T18:45:02.819549,8154.0,-6463.0,-1498154
2025-06-28T18:45:04.051768,8136.0,-6469.0,-1504623
2025-06-28T18:45:05.228431,8136.0,-6464.0,-1511087
2025-06-28T18:45:06.404981,8118.0,-6462.0,-1517549
