Timestamp,Tension,Corriente,totalizado,
2025-06-22T15:30:01.251309,0,65491,0,0
2025-06-22T15:30:05.708495,334,0,0,6012
2025-06-22T15:30:07.123295,336,0,0,6048
2025-06-22T15:30:08.538168,335,0,0,6030
2025-06-22T15:30:09.953026,337,0,0,6066
2025-06-22T15:30:11.367872,335,0,0,6030
2025-06-22T15:30:12.782651,338,0,0,6084
2025-06-22T15:30:14.197602,334,0,0,6012
2025-06-22T15:30:15.616664,371,923,923,6678
2025-06-22T15:30:17.036558,373,955,1878,6714
2025-06-22T15:30:18.459566,377,995,2873,6786
2025-06-22T15:30:19.883486,379,1008,3881,6822
2025-06-22T15:30:21.305303,375,990,4871,6750
2025-06-22T15:30:22.728354,376,998,5869,6768
2025-06-22T15:30:24.152290,379,1253,7122,6822
2025-06-22T15:30:25.575235,379,1028,8150,6822
2025-06-22T15:30:26.998089,378,1023,9173,6804
2025-06-22T15:30:28.422094,375,1018,10191,6750
2025-06-22T15:30:29.844930,380,1090,11281,6840
2025-06-22T15:30:31.267965,380,1048,12329,6840
2025-06-22T15:30:32.690803,382,1068,13397,6876
2025-06-22T15:30:34.113776,378,1333,14730,6804
2025-06-22T15:30:35.536673,382,1048,15778,6876
2025-06-22T15:30:36.959643,379,1053,16831,6822
2025-06-22T15:30:38.382486,381,1068,17899,6858
2025-06-22T15:30:39.805491,380,1283,19182,6840
2025-06-22T15:30:41.228458,378,1193,20375,6804
2025-06-22T15:30:42.651418,385,1220,21595,6930
2025-06-22T15:30:44.074337,387,1205,22800,6966
2025-06-22T15:30:45.496152,373,915,23715,6714
2025-06-22T15:30:46.920159,384,1173,24888,6912
2025-06-22T15:30:48.341897,373,770,25658,6714
2025-06-22T15:30:49.765915,385,1243,26901,6930
2025-06-22T15:30:51.188919,384,1220,28121,6912
2025-06-22T15:30:52.611774,390,1395,29516,7020
2025-06-22T15:30:54.034658,389,1298,30814,7002
2025-06-22T15:30:55.457768,390,1320,32134,7020
2025-06-22T15:30:56.880573,389,1290,33424,7002
2025-06-22T15:30:58.303411,388,1228,34652,6984
2025-06-22T15:30:59.726505,389,1303,35955,7002
2025-06-22T15:31:01.149462,387,1518,37473,6966
2025-06-22T15:31:02.572202,387,1313,38786,6966
2025-06-22T15:31:03.995133,392,1338,40124,7056
2025-06-22T15:31:05.418282,390,1315,41439,7020
2025-06-22T15:31:06.840963,390,1295,42734,7020
2025-06-22T15:31:08.264050,388,1313,44047,6984
2025-06-22T15:31:09.687053,384,1650,45697,6912
2025-06-22T15:31:11.108927,366,525,46222,6588
2025-06-22T15:31:12.531713,350,145,46367,6300
2025-06-22T15:31:13.954647,345,140,46507,6210
2025-06-22T15:31:15.377749,347,128,46635,6246
2025-06-22T15:31:16.800717,343,140,46775,6174
2025-06-22T15:31:18.223625,347,130,46905,6246
2025-06-22T15:31:19.646465,342,120,47025,6156
2025-06-22T15:31:21.069435,344,113,47138,6192
2025-06-22T15:31:22.492301,342,103,47241,6156
2025-06-22T15:31:23.915234,343,115,47356,6174
2025-06-22T15:31:25.338189,342,103,47459,6156
2025-06-22T15:31:26.761092,342,120,47579,6156
2025-06-22T15:31:28.183976,345,145,47724,6210
2025-06-22T15:31:29.606966,348,145,47869,6264
2025-06-22T15:31:31.029800,344,123,47992,6192
2025-06-22T15:31:32.452804,346,128,48120,6228
2025-06-22T15:31:33.875716,342,100,48220,6156
2025-06-22T15:31:35.298643,341,110,48330,6138
2025-06-22T15:31:36.721661,344,130,48460,6192
2025-06-22T15:31:38.144498,346,108,48568,6228
2025-06-22T15:31:39.567484,345,115,48683,6210
2025-06-22T15:31:40.990302,346,113,48796,6228
2025-06-22T15:31:42.412289,342,90,48886,6156
2025-06-22T15:31:43.836113,345,148,49034,6210
2025-06-22T15:31:45.259179,343,138,49172,6174
2025-06-22T15:31:46.682078,346,100,49272,6228
2025-06-22T15:31:48.105015,344,138,49410,6192
2025-06-22T15:31:49.527904,344,120,49530,6192
2025-06-22T15:31:50.950878,346,108,49638,6228
2025-06-22T15:31:52.374757,393,1370,51008,7074
2025-06-22T15:31:53.797800,390,1410,52418,7020
2025-06-22T15:31:55.220739,396,1445,53863,7128
2025-06-22T15:31:56.641547,366,78,53941,6588
2025-06-22T15:31:58.066612,399,1458,55399,7182
2025-06-22T15:31:59.487392,342,45,55444,6156
2025-06-22T15:32:00.910362,344,40,55484,6192
2025-06-22T15:32:02.333256,339,30,55514,6102
2025-06-22T15:32:03.756270,346,30,55544,6228
2025-06-22T15:32:05.178945,342,38,55582,6156
2025-06-22T15:32:06.602074,344,20,55602,6192
2025-06-22T15:32:08.024979,341,15,55617,6138
2025-06-22T15:32:09.447958,342,28,55645,6156
2025-06-22T15:32:10.870732,343,20,55665,6174
2025-06-22T15:32:12.293788,342,30,55695,6156
2025-06-22T15:32:13.716739,342,15,55710,6156
2025-06-22T15:32:15.139640,341,23,55733,6138
2025-06-22T15:32:16.562634,339,15,55748,6102
2025-06-22T15:32:17.985452,342,13,55761,6156
2025-06-22T15:32:19.408490,342,10,55771,6156
2025-06-22T15:32:20.831327,340,15,55786,6120
2025-06-22T15:32:22.254295,342,13,55799,6156
2025-06-22T15:32:23.676137,342,5,55804,6156
2025-06-22T15:32:25.096086,343,18,55822,6174
2025-06-22T15:32:26.519065,342,10,55832,6156
2025-06-22T15:32:27.941901,338,13,55845,6084
2025-06-22T15:32:29.364903,340,18,55863,6120
2025-06-22T15:32:30.786785,342,8,55871,6156
2025-06-22T15:32:32.206671,343,13,55884,6174
2025-06-22T15:32:33.628673,338,8,55892,6084
2025-06-22T15:32:35.048503,341,20,55912,6138
2025-06-22T15:32:36.471514,342,13,55925,6156
2025-06-22T15:32:37.894350,342,15,55940,6156
2025-06-22T15:32:39.316368,340,8,55948,6120
2025-06-22T15:32:40.735240,342,3,55951,6156
2025-06-22T15:32:42.155166,340,20,55971,6120
2025-06-22T15:32:43.577038,339,8,55979,6102
2025-06-22T15:32:44.996997,345,10,55989,6210
2025-06-22T15:32:46.418805,342,8,55997,6156
2025-06-22T15:32:47.837741,340,8,56005,6120
2025-06-22T15:32:49.256632,341,8,56013,6138
2025-06-22T15:32:50.676621,340,10,56023,6120
2025-06-22T15:32:52.099458,341,13,56036,6138
2025-06-22T15:32:53.522466,341,13,56049,6138
2025-06-22T15:32:54.944304,339,8,56057,6102
